Alabama,SEC,WEST
Georgia,SEC,EAST
Clemson,ACC,ATLANTIC
Louisiana State,SEC,WEST
Oklahoma,BIG TWELVE,BIG TWELVE
Florida,SEC,EAST
Ohio State,BIG TEN,EAST
Auburn,SEC,WEST
Michigan,BIG TEN,EAST
Mississippi State,SEC,WEST
Wisconsin,BIG TEN,WEST
Notre Dame,IND,IND
Texas A&M,SEC,WEST
Penn State,BIG TEN,EAST
Washington,PAC TWELVE,NORTH
Missouri,SEC,EAST
Utah,PAC TWELVE,SOUTH
South Carolina,SEC,EAST
Miami (FL),ACC,COASTAL
Oregon,PAC TWELVE,NORTH
Tennessee,SEC,EAST
Oklahoma State,BIG TWELVE,BIG TWELVE
Michigan State,BIG TEN,EAST
Boise State,MWC,MOUNTAIN
Iowa,BIG TEN,WEST
Memphis,AAC,WEST
Central Florida,AAC,EAST
Florida State,ACC,ATLANTIC
Southern California,PAC TWELVE,SOUTH
Virginia Tech,ACC,COASTAL
Appalachian State,SUN BELT,EAST
Stanford,PAC TWELVE,NORTH
Minnesota,BIG TEN,WEST
Texas Christian,BIG TWELVE,BIG TWELVE
Texas,BIG TWELVE,BIG TWELVE
Washington State,PAC TWELVE,NORTH
Kentucky,SEC,EAST
West Virginia,BIG TWELVE,BIG TWELVE
Mississippi,SEC,EAST
Baylor,BIG TWELVE,BIG TWELVE
Virginia,ACC,COASTAL
Utah State,MWC,MOUNTAIN
Iowa State,BIG TWELVE,BIG TWELVE
Cincinnati,AAC,EAST
Nebraska,BIG TEN,WEST
Indiana,BIG TEN,EAST
North Carolina State,ACC,ATLANTIC
Arkansas,SEC,EAST
Arizona State,PAC TWELVE,SOUTH
Brigham Young,IND,IND
Fresno State,MWC,WEST
Arizona,PAC TWELVE,SOUTH
Vanderbilt,SEC,EAST
San Diego State,MWC,WEST
Texas Tech,BIG TWELVE,BIG TWELVE
Syracuse,ACC,ATLANTIC
Northwestern,BIG TEN,WEST
Purdue,BIG TEN,WEST
Pittsburgh,ACC,COASTAL
California,PAC TWELVE,NORTH
North Carolina,ACC,COASTAL
Wake Forest,ACC,ATLANTIC
UCLA,PAC TWELVE,SOUTH
Kansas State,BIG TWELVE,BIG TWELVE
Duke,ACC,COASTAL
Temple,AAC,EAST
Maryland,BIG TEN,EAST
Colorado,PAC TWELVE,SOUTH
Troy,SUN BELT,EAST
Arkansas State,SUN BELT,WEST
South Florida,AAC,EAST
Boston College,ACC,ATLANTIC
Houston,AAC,WEST
Southern Mississippi,CUSA,WEST
Western Michigan,MAC,WEST
Northern Illinois,MAC,WEST
Marshall,CUSA,EAST
Toledo,MAC,WEST
Florida Atlantic,CUSA,EAST
Army,IND,IND
Georgia Southern,SUN BELT,EAST
Ohio,MAC,EAST
Nevada,MWC,WEST
North Texas,CUSA,WEST
Southern Methodist,AAC,WEST
Louisiana Tech,CUSA,WEST
Louisville,ACC,ATLANTIC
Florida International,CUSA,EAST
Georgia Tech,ACC,COASTAL
Air Force,MWC,MOUNTAIN
Illinois,BIG TEN,WEST
Wyoming,MWC,MOUNTAIN
Miami (OH),MAC,EAST
Hawaii,MWC,WEST
Tulsa,AAC,WEST
Eastern Michigan,MAC,WEST
Buffalo,MAC,EAST
Tulane,AAC,WEST
Louisiana,SUN BELT,WEST
Nevada-Las Vegas,MWC,WEST
Western Kentucky,CUSA,EAST
Texas State,SUN BELT,WEST
Louisiana-Monroe,SUN BELT,WEST
Middle Tennessee State,CUSA,EAST
Oregon State,PAC TWELVE,NORTH
Kansas,BIG TWELVE,BIG TWELVE
Rutgers,BIG TEN,EAST
Colorado State,MWC,MOUNTAIN
Ball State,MAC,WEST
Kent State,MAC,EAST
East Carolina,AAC,EAST
Georgia State,SUN BELT,EAST
New Mexico,MWC,MOUNTAIN
San Jose State,MWC,WEST
Navy,AAC,WEST
Old Dominion,CUSA,EAST
Charlotte,CUSA,EAST
New Mexico State,SUN BELT,IND
Central Michigan,MAC,WEST
Bowling Green State,MAC,EAST
Akron,MAC,EAST
Massachusetts,IND,IND
Rice,CUSA,WEST
South Alabama,SUN BELT,WEST
Texas-San Antonio,CUSA,WEST
Connecticut,AAC,EAST
Texas-El Paso,CUSA,WEST
Idaho,SUN BELT,SUN BELT
